distance,channelWidth,txPowerDbm,rateMode,mcs,udpRate,pktSize,seed,run,rxBytes,goodputMbps,rttMeanMs
20,20,10,adaptive,0,600Mbps,1200,1,21,110166000,48.962667,174.226
20,20,10,constant,0,600Mbps,1200,1,19,14506800,6.447467,493.743
20,20,10,constant,7,600Mbps,1200,1,20,27392400,12.174400,469.306
20,20,20,adaptive,0,600Mbps,1200,1,24,192615600,85.606933,77.452
20,20,20,constant,0,600Mbps,1200,1,22,14503200,6.445867,493.086
20,20,20,constant,7,600Mbps,1200,1,23,148330800,65.924800,92.333
20,40,10,adaptive,0,600Mbps,1200,1,27,150348000,66.821333,94.735
20,40,10,constant,0,600Mbps,1200,1,25,29208000,12.981333,395.333
20,40,10,constant,7,600Mbps,1200,1,26,0,0.000000,-1.000
20,40,20,adaptive,0,600Mbps,1200,1,30,348885600,155.060267,40.500
20,40,20,constant,0,600Mbps,1200,1,28,29178000,12.968000,403.514
20,40,20,constant,7,600Mbps,1200,1,29,291548400,129.577067,41.694
20,80,10,adaptive,0,600Mbps,1200,1,33,199918800,88.852800,77.371
20,80,10,constant,0,600Mbps,1200,1,31,61438800,27.306133,197.972
20,80,10,constant,7,600Mbps,1200,1,32,0,0.000000,-1.000
20,80,20,adaptive,0,600Mbps,1200,1,36,531327600,236.145600,41.125
20,80,20,constant,0,600Mbps,1200,1,34,61413600,27.294933,180.750
20,80,20,constant,7,600Mbps,1200,1,35,575421600,255.742933,18.667
5,20,10,adaptive,0,600Mbps,1200,1,3,243702000,108.312000,43.778
5,20,10,constant,0,600Mbps,1200,1,1,14492400,6.441067,491.857
5,20,10,constant,7,600Mbps,1200,1,2,148437600,65.972267,71.917
5,20,20,adaptive,0,600Mbps,1200,1,6,244293600,108.574933,44.806
5,20,20,constant,0,600Mbps,1200,1,4,14494800,6.442133,491.824
5,20,20,constant,7,600Mbps,1200,1,5,148318800,65.919467,73.139
5,40,10,adaptive,0,600Mbps,1200,1,9,401808000,178.581333,27.194
5,40,10,constant,0,600Mbps,1200,1,7,29209200,12.981867,363.472
5,40,10,constant,7,600Mbps,1200,1,8,291558000,129.581333,37.694
5,40,20,adaptive,0,600Mbps,1200,1,12,463477200,205.989867,22.917
5,40,20,constant,0,600Mbps,1200,1,10,29179200,12.968533,364.028
5,40,20,constant,7,600Mbps,1200,1,11,291579600,129.590933,37.056
5,80,10,adaptive,0,600Mbps,1200,1,15,728624400,323.833067,14.556
5,80,10,constant,0,600Mbps,1200,1,13,61444800,27.308800,175.750
5,80,10,constant,7,600Mbps,1200,1,14,575228400,255.657067,18.972
5,80,20,adaptive,0,600Mbps,1200,1,18,775077600,344.478933,16.500
5,80,20,constant,0,600Mbps,1200,1,16,61347600,27.265600,177.139
5,80,20,constant,7,600Mbps,1200,1,17,575502000,255.778667,19.250
