mode,beRateMbps,seed,run,goodputBE,goodputVO,goodputVI,delayVO_ms,jitterVO_ms,lossVO,delayVI_ms,jitterVI_ms,lossVI
OFF,0,1,1,0.000000,0.075252,6.139282,0.318352,0.468452,0.000000,0.215525,0.046693,0.000166
OFF,40,1,2,40.920872,0.075249,6.139493,1.456432,1.369345,0.000000,1.222632,0.833428,0.000110
ON,40,1,3,40.925395,0.075252,6.140282,0.928690,0.763003,0.000000,0.811342,0.578490,0.000000
OFF,0,1,4,0.000000,0.075252,6.139958,0.316008,0.467501,0.000000,0.214334,0.045201,0.000055
ON,0,1,5,0.000000,0.075252,6.139281,0.087379,0.012012,0.000000,0.214311,0.044821,0.000166
OFF,10,1,6,10.231232,0.075252,6.140298,0.477289,0.461241,0.000000,0.408826,0.398035,0.000000
ON,10,1,7,10.230554,0.075252,6.139621,0.337181,0.307125,0.000000,0.345527,0.281762,0.000110
OFF,20,1,8,20.464759,0.075251,6.139620,0.694451,0.665414,0.000000,0.566683,0.478060,0.000110
ON,20,1,9,20.464495,0.075252,6.139252,0.402185,0.317546,0.000000,0.400766,0.263882,0.000166
OFF,40,1,10,40.923223,0.075251,6.139802,1.370514,1.236637,0.000000,1.285666,0.867740,0.000055
ON,40,1,11,40.926186,0.075249,6.136433,0.935784,0.733043,0.000000,0.823525,0.592703,0.000607
OFF,60,1,12,53.051069,0.075245,6.138312,11.077168,8.465945,0.000000,10.222335,2.518626,0.000221
ON,60,1,13,53.671742,0.075240,6.134810,4.644386,3.346475,0.000000,4.434975,2.322895,0.000883
